NAME,DESCRIPTION,ADDRESS1,ADDRESS2,ADDRESS3,CITY,POSTCODE,COUNTRY,LAT,LNG,VENUE_STATUS,BUSINESS_TYPE,TOILET,WHEELCHAIR_ACCESS,PHONE_PRIMARY,PHONE_SECONDARY,EMAIL_PRIMARY,EMAIL_SECONDARY,WEBSITE,FACEBOOK,TWITTER,OPENING_HOURS,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,PRODUCT_LOCATION,STOCK
Crest Family Practice - William Budd,,Knowle West Health Park,Downton Road,,Bristol,BS4 1WH,United Kingdom,51.4287537,-2.5962626,Verified,Health Centre,,,0117 944 9700,,TBD,,,,,TRUE,8:30,18:30,8:30,18:30,8:30,18:30,8:30,18:30,8:30,18:30,,,,,TBD,
Knowle West Children's Centre,,Leinster Avenue,,,Bristol,BS4 1NN,United Kingdom,51.425095,-2.595069,Verified,Community Centre,,,0117 903 0214,,TBD,,,,,TRUE,18:58,18:00,18:58,18:00,18:58,18:00,18:58,18:00,18:58,18:00,18:58,18:00,18:58,18:00,TBD,
Filwood Community Centre,,Barnstaple Road,,,Bristol,BS4 1JP,United Kingdom,51.4255864,-2.5858419,Verified,Community Centre,,,0117 914 9216,,TBD,,,,,TRUE,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,12:00,9:00,12:00,9:00,22:00,TBD,
Filwood Library,,Filwood Broadway,,,Bristol,BS4 1JN,United Kingdom,51.4236115,-2.5858323,Verified,Library,,,0117 903 8581,,TBD,,,,,TRUE,11:00,17:00,,,11:00,17:00,,,11:00,17:00,10:00,14:00,,,TBD,
Eagle House Youth Centre,,Newquay Road,,,Bristol,BS4 1EG,United Kingdom,51.4245196,-2.5790593,Verified,Community Centre,,,0117 977 7795,,TBD,,,,,TRUE,0:00,23:00,0:00,23:00,0:00,23:00,0:00,23:00,0:00,23:00,0:00,23:00,0:00,23:00,TBD,
Eagle House Youth Centre,,Newquay Road,,,Bristol,BS4 1EG,United Kingdom,51.4245196,-2.5790593,Verified,Youth Club,,,0117 977 7795,,TBD,,,,,TRUE,0:00,23:00,0:00,23:00,0:00,23:00,0:00,23:00,0:00,23:00,0:00,23:00,0:00,23:00,TBD,
The Withywood Centre,,Queen's Road,,,Bristol,BS13 8QA,United Kingdom,51.4078187,-2.6217787,Verified,Foodbank,,,0117 987 8400,,TBD,,,,,TRUE,8:30,17:00,8:30,17:00,8:30,17:00,8:30,17:00,8:30,17:00,,,,,TBD,
Hartcliffe Club For Young People,,136-184 Gatehouse Avenue,,,Bristol,BS13 9AQ,United Kingdom,51.4111085,-2.6131197,Verified,Youth Club,,,,,TBD,,,,,TRUE,17:00,19:00,19:00,21:30,,,19:00,21:30,,,,,,,TBD,
The Gatehouse Centre,,The Gatehouse Centre,,,Bristol,BS13,United Kingdom,51.4127646,-2.6115078,Verified,Community Centre,,,,,TBD,,,,,FALSE,,,,,,,,,,,,,,,TBD,
Hareclive E-Act Academy,,Moxham Drive,,,Bristol,BS13 0HP,United Kingdom,51.4066312,-2.6027405,Verified,Youth Club,,,0117 903 8017,,TBD,,,,,FALSE,,,,,,,,,,,,,,,TBD,
Hartcliffe Nursery School and Children's Centre,,Moxham Drive,,,Bristol,BS13 0JW,United Kingdom,51.4073246,-2.6022168,Verified,Community Centre,,,0117 903 8633,,TBD,,,,,TRUE,8:30,17:30,8:30,17:30,8:30,17:30,8:30,17:30,8:30,17:30,,,,,TBD,
